#,Title,Tier,Section
1,Frontend builds,All,Integrate & Extend
2,abc,Enterprise,Integrate & Extend
3,Label Studio overview,All,Discover & Learn
4,release notes,Enterprise,Integrate & Extend
5,Label Studio terminology,All,Discover & Learn
6,Compare Label Studio Editions,All,Discover & Learn
7,Enterprise features: Label Studio at scale,Opensource,Discover & Learn
8,Quick start,Opensource,Install & Setup
9,Installation,Opensource,Install & Setup
10,Installation overview,Enterprise,Install & Setup
11,Requirements to Install and upgrade Label Studio,Opensource,Install & Setup
12,Deploy Label Studio on Kubernetes,Opensource,Install & Setup
13,Deploy Label Studio Enterprise on Kubernetes,Enterprise,Install & Setup
14,Project dashboard,Enterprise,Project Management
15,Members dashboard,Enterprise,Project Management
16,Set up an ingress controller for Label Studio Kubernetes deployments,All,Install & Setup
17,Install Prompts in an on-prem environment (optional),Enterprise,Install & Setup
18,Install Label Studio without public internet access,All,Install & Setup
19,Available Helm values for Label Studio Helm Chart,All,Install & Setup
20,Install Label Studio Enterprise On-premises using Docker Compose,Enterprise,Install & Setup
21,Upgrade Label Studio Enterprise,Enterprise,Install & Setup
22,Create backups for on-prem Label Studio Enterprise,Enterprise,Install
23,Troubleshoot installation issues,Opensource,Install & Setup
24,Set up the database,Opensource,Install & Setup
25,Set up persistent storage,All,Install & Setup
26,Set up email backend for Label Studio Enterprise,Enterprise,Install & Setup
27,Start Label Studio,Opensource,Install & Setup
28,Upgrade Label Studio,Opensource,Install & Setup
29,Configuration details of SaaS,Enterprise,Install & Setup
30,Secure Label Studio,All,Install & Setup
31,Workspaces,Enterprise,Create & Manage Projects
32,Create and configure projects,All,Create & Manage Projects
33,Project and task state management,Enterprise,Create & Manage Projects
34,Configure labeling interface,All,Create & Manage Projects
35,Manage projects in Label Studio,Opensource,Create & Manage Projects
36,Manage projects in Label Studio Enterprise,Enterprise,Create & Manage Projects
37,Project components,All,Project & Team Management
38,Project settings,Opensource,Create & Manage Projects
39,Project settings,Enterprise,Create & Manage Projects
40,Use the Data Manager in projects,All,Create & Manage Projects
41,Labeling guide,All,Create & Manage Projects
42,Dashboards,Enterprise,Create & Manage Projects
43,Bulk labeling,Enterprise,Create & Manage Projects
44,Hotkeys,All,Create & Manage Projects
45,Skipping tasks,All,Create & Manage Projects
46,Plugins for projects,Enterprise,Create & Manage Projects
47,Sync data from external storage,All,Import & Export
48,Set up Amazon S3 cloud storage,All,Import & Export
49,Set up Google Cloud Storage,All,Import & Export
50,Set up Microsoft Azure Blob storage,All,Import & Export
51,Set up Databricks UC volume storage,All,Import & Export
52,Set up Redis database project storage,All,Import & Export
53,Get data into Label Studio,All,Import & Export
54,Set up local project storage,All,Import & Export
55,Label Studio Task Format,All,Import & Export
56,Import pre-annotated data into Label Studio,All,Import & Export
57,Export annotations and data from Label Studio,All,Import & Export
58,Projects overview dashboard,Enterprise,Analytics
59,Member performance dashboard,Enterprise,Analytics
60,Prompts overview and use cases,Enterprise,Prompts
61,Create a Prompt,Enterprise,Prompts
62,Model provider API keys for Prompts,Enterprise,Prompts
63,Draft and run prompts,Enterprise,Prompts
64,Generate predictions from a prompt,Enterprise,Prompts
65,Prompts examples,Enterprise,Prompts
66,Integrate Label Studio into your machine learning pipeline,All,Machine Learning
67,Google SAML SSO Setup Example,Enterprise,N/A
